Date;Close/Last;Volume;Open;High;Low
14.02.2020;3380.16;--;3378.08;3380.69;3366.15
13.02.2020;3373.94;--;3365.9;3385.09;3360.52
12.02.2020;3379.45;--;3370.5;3381.47;3369.72
11.02.2020;3357.75;--;3365.87;3375.63;3352.72
10.02.2020;3352.09;--;3318.28;3352.26;3317.77
07.02.2020;3327.71;--;3335.54;3341.42;3322.12
06.02.2020;3345.78;--;3344.92;3347.96;3334.39
05.02.2020;3334.69;--;3324.91;3337.58;3313.75
04.02.2020;3297.59;--;3280.61;3306.92;3280.61
03.02.2020;3248.92;--;3235.66;3268.44;3235.66
31.01.2020;3225.52;--;3282.33;3282.33;3214.68
30.01.2020;3283.66;--;3256.45;3285.91;3242.8
29.01.2020;3273.4;--;3289.46;3293.47;3271.89
28.01.2020;3276.24;--;3255.35;3285.78;3253.22
27.01.2020;3243.63;--;3247.16;3258.85;3234.5
24.01.2020;3295.47;--;3333.1;3333.18;3281.53
23.01.2020;3325.54;--;3315.77;3326.88;3301.87
22.01.2020;3321.75;--;3330.02;3337.77;3320.04
21.01.2020;3320.79;--;3321.03;3329.79;3316.61
17.01.2020;3329.62;--;3323.66;3329.88;3318.86
16.01.2020;3316.81;--;3302.97;3317.11;3302.82
15.01.2020;3289.29;--;3282.27;3298.66;3280.69
14.01.2020;3283.15;--;3285.35;3294.25;3277.19
13.01.2020;3288.13;--;3271.13;3288.13;3268.43
10.01.2020;3265.35;--;3281.81;3282.99;3260.86
09.01.2020;3274.7;--;3266.03;3275.58;3263.67
08.01.2020;3253.05;--;3238.59;3267.07;3236.67
07.01.2020;3237.18;--;3241.86;3244.91;3232.43
06.01.2020;3246.28;--;3217.55;3246.84;3214.64
03.01.2020;3234.85;--;3226.36;3246.15;3222.34
02.01.2020;3257.85;--;3244.67;3258.14;3235.53
31.12.2019;3230.78;--;3215.18;3231.72;3212.03
30.12.2019;3221.29;--;3240.09;3240.92;3216.57
27.12.2019;3240.02;--;3247.23;3247.93;3234.37
26.12.2019;3239.91;--;3227.2;3240.08;3227.2
24.12.2019;3223.38;--;3225.45;3226.43;3220.51
23.12.2019;3224.01;--;3226.05;3227.78;3222.3
20.12.2019;3221.22;--;3223.33;3225.65;3216.03
19.12.2019;3205.37;--;3192.32;3205.48;3192.32
18.12.2019;3191.14;--;3195.21;3198.48;3191.14
17.12.2019;3192.52;--;3195.4;3198.22;3191.03
16.12.2019;3191.45;--;3183.63;3197.71;3183.63
13.12.2019;3168.8;--;3166.65;3182.68;3156.51
12.12.2019;3168.57;--;3141.23;3176.28;3138.47
11.12.2019;3141.63;--;3135.75;3143.98;3133.21
10.12.2019;3132.52;--;3135.36;3142.12;3126.09
09.12.2019;3135.96;--;3141.86;3148.87;3135.46
06.12.2019;3145.91;--;3134.62;3150.6;3134.62
05.12.2019;3117.43;--;3119.21;3119.45;3103.76
04.12.2019;3112.76;--;3103.5;3119.38;3102.53
03.12.2019;3093.2;--;3087.41;3094.97;3070.33
02.12.2019;3113.87;--;3143.85;3144.31;3110.78
29.11.2019;3140.98;--;3147.18;3150.3;3139.34
27.11.2019;3153.63;--;3145.49;3154.26;3143.41
26.11.2019;3140.52;--;3134.85;3142.69;3131
25.11.2019;3133.64;--;3117.44;3133.83;3117.44
22.11.2019;3110.29;--;3111.41;3112.87;3099.26
21.11.2019;3103.54;--;3108.49;3110.11;3094.55
20.11.2019;3108.46;--;3114.66;3118.97;3091.41
19.11.2019;3120.18;--;3127.45;3127.64;3113.47
18.11.2019;3122.03;--;3117.91;3124.17;3112.06
15.11.2019;3120.46;--;3107.92;3120.46;3104.6
14.11.2019;3096.63;--;3090.75;3098.2;3083.26
13.11.2019;3094.04;--;3084.18;3098.06;3078.8
12.11.2019;3091.84;--;3089.28;3102.61;3084.73
11.11.2019;3087.01;--;3080.33;3088.33;3075.82
08.11.2019;3093.08;--;3081.25;3093.09;3073.58
07.11.2019;3085.18;--;3087.02;3097.77;3080.23
06.11.2019;3076.78;--;3075.1;3078.34;3065.89
05.11.2019;3074.62;--;3080.8;3083.95;3072.15
04.11.2019;3078.27;--;3078.96;3085.2;3074.87
01.11.2019;3066.91;--;3050.72;3066.95;3050.72
31.10.2019;3037.56;--;3046.9;3046.9;3023.19
30.10.2019;3046.77;--;3039.74;3050.1;3025.96
29.10.2019;3036.89;--;3035.39;3047.87;3034.81
28.10.2019;3039.42;--;3032.12;3044.08;3032.12
25.10.2019;3022.55;--;3003.32;3027.39;3001.94
24.10.2019;3010.29;--;3014.78;3016.07;3000.42
23.10.2019;3004.52;--;2994.01;3004.78;2991.21
22.10.2019;2995.99;--;3010.73;3014.57;2995.04
21.10.2019;3006.72;--;2996.48;3007.33;2995.35
18.10.2019;2986.2;--;2996.84;3000;2976.31
17.10.2019;2997.95;--;3000.77;3008.29;2991.79
16.10.2019;2989.69;--;2989.68;2997.54;2985.2
15.10.2019;2995.68;--;2973.61;3003.28;2973.61
14.10.2019;2966.15;--;2965.81;2972.84;2962.94
11.10.2019;2970.27;--;2963.07;2993.28;2963.07
10.10.2019;2938.13;--;2918.55;2948.46;2917.12
09.10.2019;2919.4;--;2911.1;2929.32;2907.41
08.10.2019;2893.06;--;2920.4;2925.47;2892.66
07.10.2019;2938.79;--;2944.23;2959.75;2935.68
04.10.2019;2952.01;--;2918.56;2953.74;2918.56
03.10.2019;2910.63;--;2885.38;2911.13;2855.94
02.10.2019;2887.61;--;2924.78;2924.78;2874.93
01.10.2019;2940.25;--;2983.69;2992.53;2938.7
30.09.2019;2976.74;--;2967.07;2983.85;2967.07
27.09.2019;2961.79;--;2985.47;2987.31;2945.53
26.09.2019;2977.62;--;2985.73;2987.28;2963.71
25.09.2019;2984.87;--;2968.35;2989.82;2952.86
24.09.2019;2966.6;--;3002.43;3007.98;2957.73
23.09.2019;2991.78;--;2983.5;2999.15;2982.23
20.09.2019;2992.07;--;3008.42;3016.37;2984.68
19.09.2019;3006.79;--;3010.36;3021.99;3003.16
18.09.2019;3006.73;--;3001.5;3007.83;2978.57
17.09.2019;3005.7;--;2995.67;3006.21;2993.73
16.09.2019;2997.96;--;2996.41;3002.19;2990.67
13.09.2019;3007.39;--;3012.21;3017.33;3002.9
12.09.2019;3009.57;--;3009.08;3020.74;3000.92
11.09.2019;3000.93;--;2981.41;3000.93;2975.31
10.09.2019;2979.39;--;2971.01;2979.39;2957.01
09.09.2019;2978.43;--;2988.43;2989.43;2969.39
06.09.2019;2978.71;--;2980.33;2985.03;2972.51
05.09.2019;2976;--;2960.6;2985.86;2960.6
04.09.2019;2937.78;--;2924.67;2938.84;2921.86
03.09.2019;2906.27;--;2909.01;2914.39;2891.85
30.08.2019;2926.46;--;2937.09;2940.43;2913.32
29.08.2019;2924.58;--;2910.37;2930.5;2905.67
28.08.2019;2887.94;--;2861.28;2890.03;2853.05
27.08.2019;2869.16;--;2893.14;2898.79;2860.59
26.08.2019;2878.38;--;2866.7;2879.27;2856
23.08.2019;2847.11;--;2911.07;2927.01;2834.97
22.08.2019;2922.95;--;2930.94;2939.08;2904.51
21.08.2019;2924.43;--;2922.04;2928.73;2917.91
20.08.2019;2900.51;--;2919.01;2923.63;2899.6
19.08.2019;2923.65;--;2913.48;2931;2913.48
16.08.2019;2888.68;--;2864.74;2893.63;2864.74
15.08.2019;2847.6;--;2846.2;2856.67;2825.51
14.08.2019;2840.6;--;2894.15;2894.15;2839.64
13.08.2019;2926.32;--;2880.72;2943.31;2877.05
12.08.2019;2883.09;--;2907.07;2907.58;2873.14
09.08.2019;2918.65;--;2930.51;2935.75;2900.15
08.08.2019;2938.09;--;2896.21;2938.72;2894.47
07.08.2019;2883.98;--;2858.65;2892.17;2825.71
06.08.2019;2881.77;--;2861.18;2884.4;2847.42
05.08.2019;2844.74;--;2898.07;2898.07;2822.12
02.08.2019;2932.05;--;2943.9;2945.5;2914.11
01.08.2019;2953.56;--;2980.32;3013.59;2945.23
31.07.2019;2980.38;--;3016.22;3017.4;2958.08
30.07.2019;3013.18;--;3007.66;3017.19;3000.94
29.07.2019;3020.97;--;3024.47;3025.61;3014.3
26.07.2019;3025.86;--;3013.25;3027.98;3012.59
25.07.2019;3003.67;--;3016.26;3016.31;2997.24
24.07.2019;3019.56;--;2998.77;3019.59;2996.82
23.07.2019;3005.47;--;2994.74;3005.9;2988.56
22.07.2019;2985.03;--;2981.93;2990.71;2976.65
19.07.2019;2976.61;--;3004.26;3006.02;2975.86
18.07.2019;2995.11;--;2978.87;2998.28;2973.09
17.07.2019;2984.42;--;3005.1;3005.26;2984.25
16.07.2019;3004.04;--;3012.13;3015.02;3001.15
15.07.2019;3014.3;--;3017.8;3017.8;3008.77
12.07.2019;3013.77;--;3003.36;3013.92;3001.87
11.07.2019;2999.91;--;2999.62;3002.33;2988.8
10.07.2019;2993.07;--;2989.3;3002.98;2984.62
09.07.2019;2979.63;--;2965.52;2981.9;2963.44
08.07.2019;2975.95;--;2979.77;2980.76;2970.09
05.07.2019;2990.41;--;2984.25;2994.03;2967.97
03.07.2019;2995.82;--;2978.08;2995.84;2977.96
02.07.2019;2973.01;--;2964.66;2973.21;2955.92
01.07.2019;2964.33;--;2971.41;2977.93;2952.22
28.06.2019;2941.76;--;2932.94;2943.98;2929.05
27.06.2019;2924.92;--;2919.66;2929.3;2918.57
26.06.2019;2913.78;--;2926.07;2932.59;2912.99
25.06.2019;2917.38;--;2945.78;2946.52;2916.01
24.06.2019;2945.35;--;2951.42;2954.92;2944.05
21.06.2019;2950.46;--;2952.71;2964.15;2946.87
20.06.2019;2954.18;--;2949.6;2958.06;2931.5
19.06.2019;2926.46;--;2920.55;2931.74;2911.43
18.06.2019;2917.75;--;2906.71;2930.79;2905.44
17.06.2019;2889.67;--;2889.75;2897.27;2887.3
14.06.2019;2886.98;--;2886.82;2894.45;2879.62
13.06.2019;2891.64;--;2886.24;2895.24;2881.99
12.06.2019;2879.84;--;2882.73;2888.57;2874.68
11.06.2019;2885.72;--;2903.27;2910.61;2878.53
10.06.2019;2886.73;--;2885.83;2904.77;2885.51
07.06.2019;2873.34;--;2852.87;2884.97;2852.87
06.06.2019;2843.49;--;2828.51;2852.1;2822.45
05.06.2019;2826.15;--;2818.09;2827.28;2800.92
04.06.2019;2803.27;--;2762.64;2804.49;2762.64
03.06.2019;2744.45;--;2751.53;2763.07;2728.81
31.05.2019;2752.06;--;2766.15;2768.98;2750.52
30.05.2019;2788.86;--;2786.94;2799;2776.74
29.05.2019;2783.02;--;2790.25;2792.03;2766.06
28.05.2019;2802.39;--;2830.03;2840.51;2801.58
24.05.2019;2826.06;--;2832.41;2841.36;2820.19
23.05.2019;2822.24;--;2836.7;2836.7;2805.49
22.05.2019;2856.27;--;2856.06;2865.47;2851.11
21.05.2019;2864.36;--;2854.02;2868.88;2854.02
20.05.2019;2840.23;--;2841.94;2853.86;2831.29
17.05.2019;2859.53;--;2858.6;2885.48;2854.23
16.05.2019;2876.32;--;2855.8;2892.15;2855.8
15.05.2019;2850.96;--;2820.38;2858.68;2815.08
14.05.2019;2834.41;--;2820.12;2852.54;2820.12
13.05.2019;2811.87;--;2840.19;2840.19;2801.43
10.05.2019;2881.4;--;2863.1;2891.31;2825.39
09.05.2019;2870.72;--;2859.84;2875.97;2836.4
08.05.2019;2879.42;--;2879.61;2897.96;2873.28
07.05.2019;2884.05;--;2913.03;2913.03;2862.6
06.05.2019;2932.47;--;2908.89;2937.32;2898.21
03.05.2019;2945.64;--;2929.21;2947.85;2929.21
02.05.2019;2917.52;--;2922.16;2931.68;2900.5
01.05.2019;2923.73;--;2952.33;2954.13;2923.36
30.04.2019;2945.83;--;2937.14;2948.22;2924.11
29.04.2019;2943.03;--;2940.58;2949.52;2939.35
26.04.2019;2939.88;--;2925.81;2939.88;2917.56
25.04.2019;2926.17;--;2928.99;2933.1;2912.84
24.04.2019;2927.25;--;2934;2936.83;2926.05
23.04.2019;2933.68;--;2909.99;2936.31;2908.53
22.04.2019;2907.97;--;2898.78;2909.51;2896.35
18.04.2019;2905.03;--;2904.81;2908.4;2891.9
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
